;Index;id;name;city;min_salary;max_salary;company;days_from_publication;description;conditions;requirement;responsibility;key_skills;Тюмень;Челябинск;Казань;Екатеринбург;Другие города;experience_Более 6 лет;experience_Нет опыта;experience_От 1 года до 3 лет;experience_От 3 до 6 лет;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;PHP;MySQL;JavaScript;Git;HTML;jQuery;Yii;CSS;ООП;1С-Битрикс;Другие навыки
0;66;33754183;Middle PHP-разработчик;Новосибирск;4;5;Jump Taxi;0.0;"Привет! О тебе Предлагаем тебе присоединиться к команде разработчиков-новаторов, напрямую влиять на разрабатываемый продукт, искать интересные решения задач в программной разработке, вдохновлять жизнь в сложный, красивый и действительно полезный продукт среди пользователей по всей России. Знаешь больше других? Внедряй свои идеи и наработки, оптимизируй продукт, изучай конкурентов и делай лучшее и современное решение на рынке. Окружи себя единомышленниками и теми, кто поддержит твоё стремление делать топовые решения в индустрии. Делай больше и круче, используй свои возможности. О нас Jump Taxi — сервис сопровождения современного таксопарка. Каждый день мы создаем, тестируем и совершенствуем цифровые продукты для бизнеса такси и автовладельцев. Миссия проекта — сделать услуги пассажирских перевозок в России приятными, безопасными и недорогими. Команда проекта — новаторы, сплоченная группа специалистов. Мы создаем идейные, нужные и работающие продукты, ищем новые возможности и сферы, в которых можем предложить себя миру. Сегодня мы предлагаем тебе присоединиться к команде, проявить себя и свои знания, опыт и умения для решения задач и развития наших проектов. Кого ищем PHP разработчиков middle уровня с опытом работы по специальности от года.Что точно нужно уметь:  Проектировать базы данных в НФ и писать быстрые SQL запросы; Работать хотя бы с одним PHP фреймворком и ORM (мы работаем с Laravel) Идеально понимать принципы ООП и использовать их на практике; Работать с GIT или другой системой управления версиями; Писать чистый и понятный код, покрытый тестами и документацией.  Условия:  Интересный современный проект на микросервисной архитектуре без легаси кода; Просторный светлый офис в центре города. 5 минут от станции Маршала Покрышкина; Возможность переезда и работы в офисе в Калининграде; Ежемесячная белая зарплата без задержек; Амбициозные задачи и цели; Возможность обучаться за счет компании; Официальное трудоустройство; Опытная команда по разработке и сопровождению продукта.  Видишь себя среди нас? Присылай своё резюме и сопроводительное письмо на почту или звони нам в студию.";"  Интересный современный проект на микросервисной архитектуре без легаси кода; Просторный светлый офис в центре города. 5 минут от станции Маршала Покрышкина; Возможность переезда и работы в офисе в Калининграде; Ежемесячная белая зарплата без задержек; Амбициозные задачи и цели; Возможность обучаться за счет компании; Официальное трудоустройство; Опытная команда по разработке и сопровождению продукта.  Видишь себя среди нас? Присылай своё резюме и сопроводительное письмо на почту или звони нам в студию.";PHP разработчиков middle уровня с опытом работы по специальности от года. Что точно нужно уметь: Проектировать базы данных в НФ...;Писать чистый и понятный код, покрытый тестами и документацией. Опытная команда по разработке и сопровождению продукта.;"Git;MySQL;PHP";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0
1;11;31186060;PHP-программист;Новосибирск;4;4;Д2 Страхование;0.06666666666666667;D2 Страхование – современная федеральная компания с высоким уровнем надежности. ТОП-10 по страхованию имущества частных лиц. ТОП-10 в высшей лиге народного рейтинга на banki. В 200 городах партнёры продают наши страховые продукты.   Мы работаем в B2B-сегменте и растем по количеству пользователей кратно каждый год. Развиваем front для более активной работы с пользователями B2C. Сервисы пилит команда специалистов в головном офисе в г. Новосибирске, а также несколько команд на аутсорсе. Благодаря росту, проект нагружен интеграциями. Бэкенд на Битрикс и PHP. Развивается партнерская сеть и нужно успевать подтягивать интерфейсы в личных кабинетах и архитектуру.   Чем предстоит заниматься?  Разработка и поддержка back-end для Битрикс. Проектирование и разработка API, интеграция с различными партнерскими сервисами. Поддержка сайта. Разработка нового функционала. Проектирование и встраивание модулей системы. Участие в процессе разработки фич (от проектирования до ввода в эксплуатацию).    С чем работаем:  PHP 5-7. Java. Node.js.    Наш идеальный кандидат:  Имеет опыт более 1 года коммерческой разработки. Легко и чисто кодит на JS и PHP, может в React/Vue/Angular. Понимает как устроена сетевая архитектура и интеграции с сервисами на стороне.  Приветствуется стремление к постоянному обучению, участию в профильных конференциях, тренингах и семинарах.   Что мы предлагаем?  Официальное трудоустройство, полностью белая заработная плата - выплаты 2 раза в месяц, без задержек. Все соц. гарантии по ТК РФ: оплачиваемый отпуск 28 календарных дней, больничный лист. Возможность работы Home-Office в случае болезни (с сохранением заработной платы). Современный Openspace в центре города (3 мин. пешком от метро пл. Ленина). В офисе есть своя кофейня. В компании работает почти 70 человек, так что присутствие тортов в обеденной зоне практически регулярное. Компания подкидывает постоянные плюшки в виде корпоративов, обучалок, поддержит финансово стремление к набору skillов.      Хочешь работать с нами?  Отправляй отклик! С вакансией мы работаем так: отклик - встреча - тестовое задание.  ;;Имеет опыт более 1 года коммерческой разработки. Легко и чисто кодит на JS и PHP, может в React/Vue/Angular. ;Разработка и поддержка back-end для Битрикс. Проектирование и разработка API, интеграция с различными партнерскими сервисами. Поддержка сайта. ;"PHP;JavaScript;HTML;Node.js";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1
2;7;34221855;PHP-программист (reports);Санкт-Петербург;3;4;Egamings, филиал г. Псков;0.0;"Компания eGamings (г. Рига, Латвия) возобновляет набор PHP-разработчиков для удаленной работы. Компания eGamings (www.egamings.com, www.softgamings.com) является одним из самых инновационных в мире разработчиков игровых платформ и поставщиком надежных, готовых к эксплуатации игровых систем. Мы предлагаем решения White label, игры топовых игорных провайдеров через единую интеграцию, лицензирование, банковские и другие услуги, а также готовые решения под ключ. С 2008 года мы занимаем лидирующие позиции в сфере разработки онлайн казино. Мы гордимся тем, что предлагаем нашим клиентам продукт максимально высокого качества и устанавливаем долгосрочные взаимовыгодные партнерские отношения с лучшими и самыми солидными операторами в мире. Head-office нашей компании находится в Риге (Латвия). Открыты филиалы в г. Пскове и в других городах России. Требования:    Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, ООП; Хорошее знание SQL-подобных СУБД (желательно MySQL, но подойдёт и MSSQL, PostgreSQL), опыт оптимизации запросов и баз данных; Основы Debian/Ubuntu Linux на уровне пользователя; Плюсом будет знание Twitter Bootstrap, Redis, принципов работы с колоночными базами данных; Опыт работы с GIT    Обязанности:    Поддержка и написание новых модулей для внутренних web-приложений компании;  Условия:    Полный рабочий день, работа в современном офисе, Испытательный срок 2-3 месяца; Заработная плата от 70`000 до 130000 рублей (в зависимости от уровня программиста);    Собеседование:    Письменный тест вопросы (php, sql -основные html, css, js - дополнительные); Небольшое тестовое задание; Собеседование с руководителем;  Резюме обязательно. Сопроводительное письмо с перечислением проектов, умений, навыков будет преимуществом.   В нашей компании вы найдете: Официальное трудоустройство и социальные гарантии Сплочённую и сильную команду, в которой можно быстро вырасти Поддержку в реализации идей и поощрение инициативности Адекватное руководство Свободный режим работы Нормированную 40-часовую рабочую неделю  ";"    Полный рабочий день, работа в современном офисе, Испытательный срок 2-3 месяца; Заработная плата от 70`000 до 130000 рублей (в зависимости от уровня программиста);    Собеседование:    Письменный тест вопросы (php, sql -основные html, css, js - дополнительные); Небольшое тестовое задание; Собеседование с руководителем;  Резюме обязательно. Сопроводительное письмо с перечислением проектов, умений, навыков будет преимуществом.   В нашей компании вы найдете: Официальное трудоустройство и социальные гарантии Сплочённую и сильную команду, в которой можно быстро вырасти Поддержку в реализации идей и поощрение инициативности Адекватное руководство Свободный режим работы Нормированную 40-часовую рабочую неделю  ";Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, ООП. Хорошее знание SQL-подобных СУБД (желательно MySQL, но подойдёт...;Поддержка и написание новых модулей для внутренних web-приложений компании. Письменный тест вопросы (php, sql -основные html, css, js - дополнительные). ;"PHP;MySQL;PHP5;HTML5;JavaScript;Git;ООП;MS SQL;PostgreSQL;СУБД;Redis";0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;1;0;1
3;73;34276300;Программист разработчик PHP;Санкт-Петербург;3;4;Lapin Group;0.0;"Обязанности:  Разработка функционала проектов компании на фреймворке Symfony 3+ Реализация REST API Написание тестов на реализованную функциональность Написание документации Работа c FrontEnd 80%, BackEnd 20%  Требования:  не рассматриваем кандидатов на удаленный характер работы Опыт FrontEnd разработки от 2-х лет Уверенные знание PHP, MySQL, фреймворка Symfony 3+, Вootstrap Приветствуются знания протоколов HTTP2, Websocket Соблюдение сроков и качества выполнения задач Аккуратный, валидный код; использование современных стандартов разработки и методологий Отличные коммуникативные навыки, командный игрок Опыт работы с большими нагрузками и крупными проектами будет плюсом Опыт администрирования Unix систем будет плюсом Наличие собственных проектов (в том числе open source на github) будет плюсом  Условия:  адекватная заработная плата по результатам собеседования и пересмотром по мере роста сотрудника разумный и дружелюбный коллектив официальное трудоустройство с первого дня уютный офис на Черной речке гибкое начало и конец рабочего дня возможность иногда работать из дома ";  адекватная заработная плата по результатам собеседования и пересмотром по мере роста сотрудника разумный и дружелюбный коллектив официальное трудоустройство с первого дня уютный офис на Черной речке гибкое начало и конец рабочего дня возможность иногда работать из дома ;Не рассматриваем кандидатов на удаленный характер работы. Опыт FrontEnd разработки от 2-х лет. Уверенные знание PHP, MySQL, фреймворка Symfony...;Разработка функционала проектов компании на фреймворке Symfony 3+. Реализация REST API. Написание тестов на реализованную функциональность. Написание документации. ;PHP, MySQL, фреймворка Symfony 3+, Вootstrap знания протоколов HTTP2, Websocket;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
4;56;33864441;PHP developer (со знанием английского языка);Омск;4;4;Jivosite;0.0;Как минимум треть жизни мы проводим на работе. Так почему бы не проводить это время с пользой и удовольствием? JivoSite — то самое место, где это возможно. Мы разрабатываем полезный продукт: бизнес-мессенджер для общения c клиентами в различных каналах (соцсети, мессенджеры, почта, чат на сайте) через одно приложение. JivoSite – это 250 тысяч довольных бизнесов по всему миру и миллионы их счастливых клиентов. JivoSite — это высоконагруженный сервис: 3,5 млн сообщений в сутки, 13 млн чатов в месяц, 150 млн показов виджета в сутки, 1 млн одновременных коннектов, все это крутится на 200+ серверах. Скучать не придется, сложных интересных задач много. Это профессиональная и дружная команда — 140 человек по всему миру, коллеги из США, Европы, Бразилии, Турции, Индии и других стран. Это полностью распределенная команда — не нужно тратить время на походы в офис, ваше рабочее место там, где вы сами пожелаете: в удобном домашнем кресле или на берегу теплого океана. Основа нашего успеха – крутые и заряженные на результат специалисты, если вы готовы развиваться и менять мир, то нам по пути! Мы ищем талантливого PHP developerа со свободным английским языком в highload проект Вам предстоит:  · Разрабатывать и совершенствовать внутренние сервисы компании · Принимать участие в разработке сервисов для клиентов · Самостоятельно и с командой вырабатывать архитектурные решения · Проводить рефакторинг и ревью кода · Самоорганизовываться для продуктивной работы из дома без постоянного контроля Мы ожидаем, что вы: · Знаете PHP - сильные и слабые стороны языка · Понимаете MySQL (сложные запросы, оптимизация) · Понимаете базовые принципы верстки · Работали с системами контроля версий · Обладаете успешным опытом разработки web-приложений · Умеете про интеграции со сторонними системами (CRM, CMS, платежные системы, соц. сети и пр.) · Свободно говорите на английском языке Круто, если: · Есть опыт работы с Symfony · Есть опыт разработки плагинов под CMS системы · Есть опыт удаленной работы Мы предлагаем: · Минимум бюрократии, максимум самостоятельности · Белую заработную плату, оформление по ТК РФ · ДМС, предоставляем и для региональных сотрудников · Удаленную фулл-тайм работу в стабильной компании · Корпоративные мероприятия (как правило, путешествие с командой на 1-2 недели за счет компании); · Минимум бюрократии, максимум самостоятельности · Белую заработную плату, оформление по ТК РФ · ДМС, предоставляем и для региональных сотрудников · Удаленную фулл-тайм работу в стабильной компании · Корпоративные мероприятия (как правило, путешествие с командой на 1-2 недели за счет компании);Понимаете MySQL (сложные запросы, оптимизация). Понимаете базовые принципы верстки. Работали с системами контроля версий. Обладаете успешным опытом разработки web-приложений. ;Разрабатывать и совершенствовать внутренние сервисы компании. Принимать участие в разработке сервисов для клиентов. Самостоятельно и с командой вырабатывать архитектурные решения. ;"PHP;Symfony;MySQL;API;Английский язык";0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1
5;93;33864436;PHP developer (со знанием английского языка);Самара;4;4;Jivosite;0.0;Как минимум треть жизни мы проводим на работе. Так почему бы не проводить это время с пользой и удовольствием? JivoSite — то самое место, где это возможно. Мы разрабатываем полезный продукт: бизнес-мессенджер для общения c клиентами в различных каналах (соцсети, мессенджеры, почта, чат на сайте) через одно приложение. JivoSite – это 250 тысяч довольных бизнесов по всему миру и миллионы их счастливых клиентов. JivoSite — это высоконагруженный сервис: 3,5 млн сообщений в сутки, 13 млн чатов в месяц, 150 млн показов виджета в сутки, 1 млн одновременных коннектов, все это крутится на 200+ серверах. Скучать не придется, сложных интересных задач много. Это профессиональная и дружная команда — 140 человек по всему миру, коллеги из США, Европы, Бразилии, Турции, Индии и других стран. Это полностью распределенная команда — не нужно тратить время на походы в офис, ваше рабочее место там, где вы сами пожелаете: в удобном домашнем кресле или на берегу теплого океана. Основа нашего успеха – крутые и заряженные на результат специалисты, если вы готовы развиваться и менять мир, то нам по пути! Мы ищем талантливого PHP developerа со свободным английским языком в highload проект Вам предстоит:  · Разрабатывать и совершенствовать внутренние сервисы компании · Принимать участие в разработке сервисов для клиентов · Самостоятельно и с командой вырабатывать архитектурные решения · Проводить рефакторинг и ревью кода · Самоорганизовываться для продуктивной работы из дома без постоянного контроля Мы ожидаем, что вы: · Знаете PHP - сильные и слабые стороны языка · Понимаете MySQL (сложные запросы, оптимизация) · Понимаете базовые принципы верстки · Работали с системами контроля версий · Обладаете успешным опытом разработки web-приложений · Умеете про интеграции со сторонними системами (CRM, CMS, платежные системы, соц. сети и пр.) · Свободно говорите на английском языке Круто, если: · Есть опыт работы с Symfony · Есть опыт разработки плагинов под CMS системы · Есть опыт удаленной работы Мы предлагаем: · Минимум бюрократии, максимум самостоятельности · Белую заработную плату, оформление по ТК РФ · ДМС, предоставляем и для региональных сотрудников · Удаленную фулл-тайм работу в стабильной компании · Корпоративные мероприятия (как правило, путешествие с командой на 1-2 недели за счет компании); · Минимум бюрократии, максимум самостоятельности · Белую заработную плату, оформление по ТК РФ · ДМС, предоставляем и для региональных сотрудников · Удаленную фулл-тайм работу в стабильной компании · Корпоративные мероприятия (как правило, путешествие с командой на 1-2 недели за счет компании);Понимаете MySQL (сложные запросы, оптимизация). Понимаете базовые принципы верстки. Работали с системами контроля версий. Обладаете успешным опытом разработки web-приложений. ;Разрабатывать и совершенствовать внутренние сервисы компании. Принимать участие в разработке сервисов для клиентов. Самостоятельно и с командой вырабатывать архитектурные решения. ;"PHP;Symfony;MySQL;API;Английский язык";0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1
6;61;33864440;PHP developer (со знанием английского языка);Челябинск;4;4;Jivosite;0.0;Как минимум треть жизни мы проводим на работе. Так почему бы не проводить это время с пользой и удовольствием? JivoSite — то самое место, где это возможно. Мы разрабатываем полезный продукт: бизнес-мессенджер для общения c клиентами в различных каналах (соцсети, мессенджеры, почта, чат на сайте) через одно приложение. JivoSite – это 250 тысяч довольных бизнесов по всему миру и миллионы их счастливых клиентов. JivoSite — это высоконагруженный сервис: 3,5 млн сообщений в сутки, 13 млн чатов в месяц, 150 млн показов виджета в сутки, 1 млн одновременных коннектов, все это крутится на 200+ серверах. Скучать не придется, сложных интересных задач много. Это профессиональная и дружная команда — 140 человек по всему миру, коллеги из США, Европы, Бразилии, Турции, Индии и других стран. Это полностью распределенная команда — не нужно тратить время на походы в офис, ваше рабочее место там, где вы сами пожелаете: в удобном домашнем кресле или на берегу теплого океана. Основа нашего успеха – крутые и заряженные на результат специалисты, если вы готовы развиваться и менять мир, то нам по пути! Мы ищем талантливого PHP developerа со свободным английским языком в highload проект Вам предстоит:  · Разрабатывать и совершенствовать внутренние сервисы компании · Принимать участие в разработке сервисов для клиентов · Самостоятельно и с командой вырабатывать архитектурные решения · Проводить рефакторинг и ревью кода · Самоорганизовываться для продуктивной работы из дома без постоянного контроля Мы ожидаем, что вы: · Знаете PHP - сильные и слабые стороны языка · Понимаете MySQL (сложные запросы, оптимизация) · Понимаете базовые принципы верстки · Работали с системами контроля версий · Обладаете успешным опытом разработки web-приложений · Умеете про интеграции со сторонними системами (CRM, CMS, платежные системы, соц. сети и пр.) · Свободно говорите на английском языке Круто, если: · Есть опыт работы с Symfony · Есть опыт разработки плагинов под CMS системы · Есть опыт удаленной работы Мы предлагаем: · Минимум бюрократии, максимум самостоятельности · Белую заработную плату, оформление по ТК РФ · ДМС, предоставляем и для региональных сотрудников · Удаленную фулл-тайм работу в стабильной компании · Корпоративные мероприятия (как правило, путешествие с командой на 1-2 недели за счет компании); · Минимум бюрократии, максимум самостоятельности · Белую заработную плату, оформление по ТК РФ · ДМС, предоставляем и для региональных сотрудников · Удаленную фулл-тайм работу в стабильной компании · Корпоративные мероприятия (как правило, путешествие с командой на 1-2 недели за счет компании);Понимаете MySQL (сложные запросы, оптимизация). Понимаете базовые принципы верстки. Работали с системами контроля версий. Обладаете успешным опытом разработки web-приложений. ;Разрабатывать и совершенствовать внутренние сервисы компании. Принимать участие в разработке сервисов для клиентов. Самостоятельно и с командой вырабатывать архитектурные решения. ;"PHP;Symfony;MySQL;API;Английский язык";0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1
7;31;34207899;PHP-разработчик;Новосибирск;4;4;Восток Инновации;0.0;"Мы делаем CRM систему по модели SAAS, которая помогает бизнесу в сфере образования. Она автоматизирует добрую часть рутинных процессов (это точно), снимает головную боль и нормализует сон (это не точно). У нас небольшая, дружная и эффективная команда, поэтому мы занимаем лидирующие позиции среди конкурирующих CRM для образования. Мы ищем разработчика PHP, имеющего навыки работы с фреймворком Yii2. Если у вас другой, но релевантный опыт — все равно пишите. От нас:  Уютный офис в тихом центре, комфортное рабочее место; Качественно спроектированная сложная архитектура, highload; Отлично написанный код и продуманные стили кодирования; Дружественная атмосфера в коллективе;  От вас:  Знание PHP7, понимание ООП и MVC; Опыт работы с фреймворком Yii2; Ваша ОС — Linux; ";;От вас: Знание PHP7, понимание ООП и MVC. Опыт работы с фреймворком Yii2.;Ваша ОС — Linux.;"PHP;Git;JavaScript;MySQL;Yii;PHP7";0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;1;0;0;1;0;0;0;1
8;22;33904039;PHP программист;Санкт-Петербург;4;4;HR-PROFI;0.0;"Стабильная компания-разработчик (10 лет на рынке), в связи с активным развитием, ищет РНР программиста в свою команду. Основное направление - разработка ERP систем. Задачи:  Активная разработка новых модулей; Рефакторинг текущего кода; Работа в команде сильных разработчиков; Взаимодействие с менеджером проектов и с QA специалистами.  Что мы ожидаем от будущего сотрудника:  Опыт объектно ориентированного программирования на PHP; Опыт работы с популярными фреймворками (yii, symfony); Желательно знание JavaScript, JQuery; Умение читать чужой код; Знание английского языка будет преимуществом; Обучаемость, стремление к профессиональному и карьерному росту Готовность выполнить тестовое задание после технического интервью  Готовы предлагать:  Интересные, масштабные проекты; Работа в команде профессионалов; Достойная заработная плата, обсуждается на собеседовании; Регулярное повышение квалификации; Реальные возможности профессионального и карьерного роста; Мы готовы обучать, но для нас важно твое стремление к обучению! 5-ти дневная рабочая неделя, гибкое начало и окончание рабочего дня; Комфортный офис (м. Московские ворота). ";;Опыт объектно ориентированного программирования на PHP. Опыт работы с популярными фреймворками (yii, symfony). Желательно знание JavaScript, JQuery. Умение читать чужой...;Активная разработка новых модулей. Рефакторинг текущего кода. Работа в команде сильных разработчиков. Взаимодействие с менеджером проектов и с QA специалистами.;"PHP;MySQL;JavaScript;Git;HTML";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
