;Index;id;name;city;min_salary;max_salary;company;days_from_publication;description;conditions;requirement;responsibility;key_skills;Тюмень;Челябинск;Казань;Екатеринбург;Другие города;experience_Более 6 лет;experience_Нет опыта;experience_От 1 года до 3 лет;experience_От 3 до 6 лет;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;Android;Java;Android SDK;Kotlin;Retrofit;Git;SQLite;ООП;SQL;Разработка ПО;Другие навыки
0;31;32870957;Android разработчик;Тюмень;2;6;Сервис заказа такси Максим;0.0;"Кто мы: - IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия.   Что у нас есть: - сложный высоконагруженный сервис с миллионами пользователей по всему миру и более 12 миллионов установок в Google Play.   Мы хотим найти человека, который: - знает ООП и структуры данных, понимает принципы SOLID; - имеет опыт разработки на Java или Kotlin для Android; - знает Android SDK, понимает архитектуру Android; - имеет опыт работы с Android Studio, Gradle; - знаком с принципами Material Design; - имеет опыт работы с системами контроля версий Git; - работал с SQL базами данных;   Будем большим плюсом, если: - есть опубликованные Android-приложения (Google Play); - есть опыт коммерческой разработки под Android.   Что мы предлагаем: - множество интересных задач, в решении которых вы можете принять полноправное участие; - дружелюбный коллектив профессионалов; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); - уровень заработной платы, который зависит от технических знаний и навыков (регулярные пересмотры при повышении результатов и качества работы).";;Мы хотим найти человека, который: - знает ООП и структуры данных, понимает принципы SOLID. - имеет опыт разработки на Java или Kotlin...;;"Android;Java;Android SDK;Kotlin;Retrofit";1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
1;51;34070463;Разработчик Android;Ростов-на-Дону;2;5;GrowApp Solutions;0.06666666666666667;В компанию GrowApp Solutions требуются Android разработчики. Мы ищем амбициозных, талантливых разработчиков, желающих обучаться и расти, работать с самыми новыми технологиями, которые предоставляет система Android. Наша компания занимается разработкой мобильных приложений и сопровождающих их веб-приложений. Основными сферами деятельности являются приложения для бизнеса, социальные сети, электронная коммерция. Некоторые из проектов, над которыми ведется работа: 1. Теамо.Ру - самая популярная в России сеть знакомств 2. Winline - официальное приложение для популярной букмекерской конторы 3. BrewApp - молодой стартап из Кремниевой долины, предоставляющий крутое решение для аудио-подкастов И многие другие не менее интересные проекты!   Обязанности: - Разработка Android-приложений - Поддержка существующих проектов - Тестирование собственного кода как вручную, так и автоматическими тестами - Изучение и внедрение новых возможностей Android SDK   Требования: - Знание Kotlin или Java, Android SDK - Опыт клиент-серверного взаимодействия - Опыт создания и/или доработки кастомных элементов управления - Понимание 9-path и dpi, знание принципов Material Design - Понимание сериализации/десериализации, опыт работы с GSON - Опыт работы с основными компонентами андроид-приложения - Понимание внутренней работы с памятью в Android - Умение работать с базами данных - Понимание внутренней организации основных структур данных (массивов, списков, и т. п.) - Желание расти и развиваться в команде профессионалов   Условия: - Трудоустройство по ТК РФ - Оплачиваемые больничные и отпуска - Работа в комфортном офисе - Премии по результатам работы - Интересные проекты и карьерный рост - Чай, кофе и печеньки всегда в наличии.  ; - Трудоустройство по ТК РФ - Оплачиваемые больничные и отпуска - Работа в комфортном офисе - Премии по результатам работы - Интересные проекты и карьерный рост - Чай, кофе и печеньки всегда в наличии.  ;Знание Kotlin или Java, Android SDK. - Опыт клиент-серверного взаимодействия. - Опыт создания и/или доработки кастомных элементов управления. - ;Разработка Android-приложений. - Поддержка существующих проектов. - Тестирование собственного кода как вручную, так и автоматическими тестами. - Изучение и внедрение новых возможностей...;"Android;Android SDK";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0
2;25;33460141;Android Developer;Самара;3;5;Эквид;0.03333333333333333;Мы помогаем людям начать своё дело в интернете и зарабатывать на нём. Для этого создаём простой и доступный конструктор интернет-магазинов, а в самарском офисе делаем самые лучшие мобильные приложения для управления онлайн-бизнесом. Кого ищем Оперившегося Android-разработчика, который знает Material Design, использует код-ревью, пишет на Kotlin и имеет опыт коммерческой разработки под Android от 2 лет. Идеальный кандидат любит участвовать в обсуждении и создании новых фич. Готов покрывать их тестами и фиксить баги. Что ожидаем  Умение использовать Realm, MVP, Retrofit, RxJava Стремление писать элегантный и расширяемый код Желание оптимизировать рабочие процессы  Что предлагаем Возможность самому распоряжаться своим временем. Можно работать из дома или приходить в офис к обеду, гулять среди рабочего дня, ходить в бассейн или к стоматологу, даже вздремнуть. Инструменты и вдохновение. Новенький Macbook Pro, душ, приставка, теннис, гриль, Волга, пляж и лучшие закаты в городе. Новые друзья — пивовары, бегуны, теннисисты и яхтсмены. Мы работаем как сумасшедшие, гоняем вместе за Волгу, помогаем друг другу переезжать и танцуем до утра.;;Умение использовать Realm, MVP, Retrofit, RxJava. Стремление писать элегантный и расширяемый код. Желание оптимизировать рабочие процессы.;;Разработка ПО;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
3;93;34109418;Android Developer (Middle);Тюмень;1;3;Строительный Двор;0.3;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:  Высшее / неполное высшее образование (техническое / IT); Знание Java обязательно (Kotlin будет плюсом); Знание архитектурных паттернов MVP, MVVM, Clean Architecture; Опыт работы с SQLite, Realm; Опыт работы с RxJava 2, Retrofit, FireBase, Dagger2; Понимание REST API; Опыт работы с Git.  Будет плюсом:  Наличие публикаций в Google Play Опыт написания Unit и UI тестов  Обязанности:  Развитие и поддержка Android приложений;.  Условия:  Официальная заработная плата, уровень обсуждается на собеседовании; Свободный график работы; Официальное трудоустройство; Современный классный офис со своей столовой; Насыщенная корпоративная жизнь; Дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  Официальная заработная плата, уровень обсуждается на собеседовании; Свободный график работы; Официальное трудоустройство; Современный классный офис со своей столовой; Насыщенная корпоративная жизнь; Дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";Высшее / неполное высшее образование (техническое / IT). Знание Java обязательно (Kotlin будет плюсом). Знание архитектурных паттернов MVP, MVVM, Clean Architecture. ;"Развитие и поддержка Android приложений;.";"Git;SQLite;Java;Kotlin;Realm;RxJava 2;Retrofit;FireBase;Dagger 2;REST API;MVP;MVVM;Clean Architecture";1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;1
4;35;34232770;Android-программист;Казань;1;3;АйТиБрик;0.06666666666666667;"Привет! Мы - IT Brick. Разрабатываем веб-сервисы и мобильные приложения. Наши клиенты - фирмы, которые хотят внедрить IT в свой бизнес; стартапы, запускающие новый продукт. Задачи всегда нестандартные и интересные. Например, мы сделали глобальное мобильное приложение для записи на автомойки города, которое работает в России (разработали также подобные сервисы, работающие по Украине, Казахстану и Белоруссии); мобильную ERP-систему с нестандартным отображением заявок; мобильное приложение для грузчиков, которое является частью сложной программы, и др. Количество проектов наращивается: текущие нуждаются в поддержке и добавлении новых функций, плюс добавляются новые. Поэтому мы ищем Android-разработчика. Что мы предлагаем:   Работу с “живыми” приложениями. Нашими проектами уже пользуются люди. Или, если это новый проект, ты пройдешь весь путь от идеи до выпуска приложения. Почувствуешь отдачу от пользователей и гордость за результат своей работы.   Участие в оценке и планировании задач.   Ревью кода. Подсказки и советы от более опытных коллег.   Участие в развитии технологического стека компании. Предлагай интересные технологии и решения, а мы подумаем, как это можно использовать.   Зарплату от 40 до 90 тыс. руб.   Для студентов - совмещение с учебой.   Офис в центре города. График работы: пн-пт с 9.30 до 18.30.   Работу в молодом и веселом коллективе)   От тебя:   Опыт разработки на Android от 1 года;   Твердое знание принципов ООП;   Хорошие знания Java, Android SDK, Kotlin;   Умение работать с веб-сервисами (REST, JSON);   Опыт написания и понимание архитектуры клиент-серверных приложений;   Знание основных компонентов платформы Android и понимание сценариев их использования (Activity, Service, ContentProvider, SyncAdapter, и т.д.);   Ответственное отношение к работе.     Еще желательно:   Умение применять на практике гайдлайны Android;   Работа с системой управления версиями.   Вопросы можешь задать по указанным контактам.";;От тебя: Опыт разработки на Android от 1 года. Твердое знание принципов ООП. Хорошие знания Java, Android SDK, Kotlin. ;Участие в оценке и планировании задач. Работа с системой управления версиями. Вопросы можешь задать по указанным контактам.;"Android;Kotlin;Ответственность;логическое мышление";0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1
5;28;33571697;Начинающий android разработчик;Челябинск;1;1;СофтПлюс;0.06666666666666667;"Требования– Крепкие знания основ Java и Android;– Опыт работы с с Activity и Service;– Работа в офисе в Челябинске: удалёнки на постоянной основе нет, иногда можно поработать из дома. С нами вы освоите– Retrofit;– GSON;– Picasso;– Stetho;– Mockito;– JUnit;– Espresso;– Farebase;– Swift, по желанию;– применять на практике принципы SOLID и MVP. Учиться предстоит, в основном, самостоятельно, при поддержке опытной команды и с возможностью получать консультации у лучших экспертов Челябинска. Задачи службыРазработка мобильных приложений для проектов zaycev.net, zaycev.fm, mp3.ru, mursic.ru на платформах Android и iOS, включая AndroidTV, Wear OS. В будущем - AppleTV, Android Auto, CarPlay. Условия– Офис открыт с 08.00 до 22.00, выберите своё время работы самостоятельно.– С вас - качество работ, с нас - информация и оборудование по запросу.– Оплачиваем образование: курсы и профильные конференции.– Работаем без жестких дедлайнов и KPI.– Есть возможность договориться о зарплате выше чем у обычного Junior, учитывая ваш опыт.";;Крепкие знания основ Java и Android. – Опыт работы с с Activity и Service. – JUnit. – Swift, по желанию. – применять на практике...;С вас - качество работ, с нас - информация и оборудование по запросу.;"Java;Android";0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
6;18;33958110;Начинающий программист Android;Ростов-на-Дону;1;1;ЗАЗЕКС;0.0;"Наша компания занимается предоставлением полного спектра услуг по разработке ПО для заказчиков со всего мира.Компания состоит из двух офисов – девелоперский центр в Ростове-на-Дону (он же головной офис) и офис продаж в Мельбурне, Австралия.Мы предоставляем услуги web-разработки, мобильной разработки, десктопной разработки, математического прикладного программирования, проектирования, тестирования и создания графического дизайна. Мы приглашаем на работу начинающего программиста Android в отдел мобильной и десктопной разработки в головной офис в Ростове-на-Дону. Требования:  Ответственность; Техническое образование (допускается неоконченное); Обучаемость; Опыт разработки ПО под мобильные платформы; Знание Java; Понимание ООП; Опыт работы с Android SDK; Опыт работы c HTTP, REST API и соответствующими библиотеками (OkHttp, Retrofit, etc).  Будет не лишним:  Опыт командной разработки; Умение работать с Git на базовом уровне; Умение разбираться в чужом коде.  Большим плюсом будет:  Базовое знание C/C++ и опыт сборки линуксовых C/C++ библиотек под NDK;  Опыт использования Google Play Services;  Знание принципов реактивного программирования и опыт применения соответствующих библиотек (RxJava, RxAndroid).  Условия:  Оформление согласно Трудовому Кодексу РФ; Только крупные и сложные проекты; Работа с инновационными технологиями, о которых другие компании боятся даже подумать; Большое количество коллег по цеху, скучать не будете; Система премирования (помимо указанного оклада выплачиваются ежемесячные премии согласно эффективности труда); Оплачиваемые переработки для трудоголиков (9-й и 10-й час в день по тарифу 150%‚ 11-й и далее по тарифу 200%); Возможность корпоративного обучения; Полный соц. пакет; Достойная заработная плата; Уважительное отношение к сотрудникам; Подвозка к месту работы/домой для жителей ЗЖМ; Свой повар + своя столовая; Большой, хороший‚ уютный офис в натуральном деревянном стиле с большим количеством зелени; Неограниченная парковка для сотрудников компании; Бесплатные снэки (перекусы); Доступный досуг (настольный футбол‚ PlayStation VR‚ Sega Mega Drive 2, турник‚ брусья‚ электрогитара‚ басуха‚ пианино, массажное кресло Yamaguchi YA-6000, свежий воздух); Офис вблизи транспортной развязки Квадро; Восьмичасовой рабочий день. Перерыв 1 час + два кофе-тайма по 15 минут; Если вы дочитали до этой строчки, то вот вам бонус: фактическая зарплата, как правило, выше, чем указанная в вакансии; Все вышеперечисленное - правда. ";"  Оформление согласно Трудовому Кодексу РФ; Только крупные и сложные проекты; Работа с инновационными технологиями, о которых другие компании боятся даже подумать; Большое количество коллег по цеху, скучать не будете; Система премирования (помимо указанного оклада выплачиваются ежемесячные премии согласно эффективности труда); Оплачиваемые переработки для трудоголиков (9-й и 10-й час в день по тарифу 150%‚ 11-й и далее по тарифу 200%); Возможность корпоративного обучения; Полный соц. пакет; Достойная заработная плата; Уважительное отношение к сотрудникам; Подвозка к месту работы/домой для жителей ЗЖМ; Свой повар + своя столовая; Большой, хороший‚ уютный офис в натуральном деревянном стиле с большим количеством зелени; Неограниченная парковка для сотрудников компании; Бесплатные снэки (перекусы); Доступный досуг (настольный футбол‚ PlayStation VR‚ Sega Mega Drive 2, турник‚ брусья‚ электрогитара‚ басуха‚ пианино, массажное кресло Yamaguchi YA-6000, свежий воздух); Офис вблизи транспортной развязки Квадро; Восьмичасовой рабочий день. Перерыв 1 час + два кофе-тайма по 15 минут; Если вы дочитали до этой строчки, то вот вам бонус: фактическая зарплата, как правило, выше, чем указанная в вакансии; Все вышеперечисленное - правда. ";Ответственность. Техническое образование (допускается неоконченное). Обучаемость. Опыт разработки ПО под мобильные платформы. Знание Java. Понимание ООП. Опыт работы с Android...;Мы предоставляем услуги web-разработки, мобильной разработки, десктопной разработки, математического прикладного программирования, проектирования, тестирования и создания графического дизайна. ;"Android SDK;Java;C++;Android;Git;ООП";0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;1
7;80;34210713;Android - разработчик;Омск;2;0;Хроленко Андрей Геннадьевич;0.1;"Мы - HungryDev - компания, занимающаяся разработкой программного обеспечения. Специализация - разработка мобильных приложений.Ты нам нужен для:- Разработки новых продолжительных проектов;- Доработки функционала действующих проектов;- Профессионального развития в основных областях работы компании;- Соблюдения сроков и качества работы;- Поиска свежих подходов к решению задач. Для работы тебе понадобится: - Опыт коммерческой разработки под Android от 1 года;- Опыт работы со следующим стэком: Java Core, Java Concurrency, Java Collections; Android SDK, Fragments, Custom View, REST, XML, Retrofit, RxJava/Android, SQlite, Sockets, Long poll, Google Maps, Google Place, Geocoder.- Понимание MVC/MVP;- Обязательная разработка на Java. Опыт работы на kotlin будет большим плюсом От нас:- Испытательный срок в офисе, дальше – по твоему настроению;- Офис в центре города;- Гибкий график (обсуждается индивидуально);- Чай, кофе в офисе за счёт компании;- Активная корпоративная жизнь и отличный молодой коллектив;- Достойный заработок, который будет напрямую зависеть от результатов твоего труда;- Бонусы за хорошую работу;- Рост заработной платы пропорционален твоему профессиональному развитию. Не откликайся на вакансию, если ты:- Любишь ныть и жаловаться. Нам нужны люди, которые готовы брать ответственность на себя, а не искать, на кого ее переложить.- Считаешь, что все знаешь и умеешь. Мы считаем, что обучение - это базовая ценность профессионала. Нам нужны те, кто хотят учиться, учатся много и внедряют полученные знания на практике.- После выполнения текущей задачи «успокаиваешься» в ожидании “пинка” или новой порции задач. Нет! Мы ждем от тебя неустанной инициативы.- Не пунктуален и не ценишь время свое и окружающих. Ты нам точно подходишь, если: - Умеешь, привык и готов работать на результат.- Очень любишь и умеешь изучать новое и постоянно стремишься стать лучше.";;Для работы тебе понадобится: - Опыт коммерческой разработки под Android от 1 года. - Опыт работы со следующим стэком: Java Core, Java...;Разработки новых продолжительных проектов. - Доработки функционала действующих проектов. - Профессионального развития в основных областях работы компании. - Соблюдения сроков и качества работы. - ;"Android;Android SDK;Java;Java SE;SQLite";0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1
8;41;33914801;Android - Разработчик;Казань;3;3;Mircod;0.0;Компания Mircod занимается разработкой комплексных IoT решений для различных сфер деятельности, включающих в себя электронные гаджеты, мобильные и WEB приложения, а также облачные сервисы. Приглашаем присоединиться к нашей амбициозной команде опытного и такого же амбициозного разработчика. Обязанности:  Разработка и поддержка мобильных приложений, которые работают с устройствами по интерфейсу Bluetooth/WiFi, отображают данные на экране и синхронизируют их с облаком  Требования:  Отличное знание Java Понимание принципов ООП, Clean Architecture RxJava REST API Опыт разработки клиент серверных приложений (Retrofit, OkHttp) Умение работать с ORM решениями для хранения данных Уверенная работа с системой контроля версий Git  Приветствуется:  Знание Kotlin Опыт использования Bluetooth LE в проектах Опыт работы с Firebase Знание C/C++, JNI  Условия:  Работа над интересными проектами Уютный офис в центре Казани Дружный и высококвалифицированный коллектив Перспективы карьерного роста и профессионального развития в молодой компании Тренажерный зал в здании офиса для сотрудников Бесплатные занятия английским Обилие различных вкусностей для поддержания тонуса ;  Работа над интересными проектами Уютный офис в центре Казани Дружный и высококвалифицированный коллектив Перспективы карьерного роста и профессионального развития в молодой компании Тренажерный зал в здании офиса для сотрудников Бесплатные занятия английским Обилие различных вкусностей для поддержания тонуса ;Отличное знание Java. Понимание принципов ООП, Clean Architecture. RxJava. REST API. Опыт разработки клиент серверных приложений (Retrofit, OkHttp). ;Разработка и поддержка мобильных приложений, которые работают с устройствами по интерфейсу Bluetooth/WiFi, отображают данные на экране и синхронизируют их...;"RxJava;C/C++;Retrofit;OkHttp;ORM;Kotlin;Android;Intellij IDEA";0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1
