;Index;id;name;city;min_salary;max_salary;company;days_from_publication;description;conditions;requirement;responsibility;key_skills;Тюмень;Челябинск;Казань;Екатеринбург;Другие города;experience_Более 6 лет;experience_Нет опыта;experience_От 1 года до 3 лет;experience_От 3 до 6 лет;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;SQL;Delphi;SVN;Borland Delphi;MS SQL Server;Transact-SQL;Embarcadero Delphi;DB2;программирование C#;программирование delphi;Другие навыки
0;51;34232454;Программист Delphi/SQL;Новосибирск;0;3;Мэйджор;0.06666666666666667;  Программист Delphi/SQL УДАЛЕННО Должностные обязанности: · Разработка, сопровождение и поддержка Delphi приложений (внутренняя ERP система. 3500 онлайн пользователей. Тысячи таблиц и форм) · Составление и поддержка технической документации в актуальном состоянии Требования к кандидату: · Опыт работы и уверенное знание Delphi (мы используем ХЕ10), в особенности при разработке клиент-серверных приложений (ADO), понимание принципов ООП в программировании · Знание MS SQL Server (T-SQL, опыт написания хранимых процедур, UDF, основные принципы работы реляционных СУБД) · Умение разбираться в чужом коде · Опыт документирования проектов · Желательно знание FastReport, Developer Express Условия работы: · Удаленная работа со своего компьютера · Собственная академия, прохождение курсов, для быстрого ввода программиста в дело · Собственная база знаний · Собственная виртуальная машина для удаленной разработки · Крупная компания. ВСЕГДА ЧЕТКАЯ И ПОЛНАЯ ВЫПЛАТА ЗАРАБОТНОЙ ПЛАТЫ ЗП сдельная. Зависит от объема выполненных задач;;...принципы работы реляционных СУБД). Умение разбираться в чужом коде. Опыт документирования проектов. Желательно знание FastReport, Developer Express. Собственная база знаний.;Разработка, сопровождение и поддержка Delphi приложений (внутренняя ERP система. 3500 онлайн пользователей. Тысячи таблиц и форм). Составление и поддержка технической...;"SQL;SVN;MS SQL Server;Transact-SQL;Delphi;Borland Delphi;Embarcadero Delphi";0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
1;12;34178735;Программист Delphi SQL;Казань;2;3;Архимед плюс;0.03333333333333333;О нас:  Компания Архимед Плюс. 10 лет на рынке автоматизации медицинских центров. С нами работают более 600 клиник по всей России. Мы разрабатываем собственную медицинскую информационную систему ArchiMed+ Ищем опытного программиста Delphi, профессионала своего дела, того кто верит в данную технологию и считает что на ней можно реализовывать достойные продукты! Вам придется:  Дорабатывать и улучшать продукт, писать новый и разбираться в чужом коде. Примеры разработок, которыми придется заниматься:  Интеграции. Наша система постоянно интегрируется с другими сторонними системами. ROISTAT, SENDGRID, 1с, Лабораторные информационные системы, смс провайдеры и т.д. Основной интерфейс. Мы постоянно добавляем разные кнопки, окна, настройки и т.д в нашу систему. Кассовое оборудование. Сейчас есть написанные драйвера для работы с ФР ШТРИХ, АТОЛ, VIKIPRINT, Verifone. Периодически необходимо их дорабатывать. WEB модули. Наше приложение десктопное, но есть отдельные модули, которые открываются в браузере. Необходимо взаимодействовать с разработчиками, которые пишут эти модули. И многое многое другое.  Что нужно знать:   Delphi XE на уровне построения многопользовательских высоконагруженных информационных систем. SQL. опыт отладки и оптимизации запросов, опыт разработки хранимых процедур и триггеров (Желательно именно Microsoft, но в целом - это опыт работы с реляционными базами данных (Firebird, Interbase, SQL Server, Oracle, PostreSQL, MySQL и пр.) DevExpress, TMS. У нас это используется. FastReport. Или другие генераторы отчетов. Системы контроля версии(SVN) Навыки рефакторинга и анализа чужого кода (причем не одного а нескольких программистов)  Условия:  Заработная плата по результатам собеседования Работа в удобном офисе в центре города (ул.Космонавтов) в команде опытных разработчиков. Дружелюбный коллектив. Возможность развиваться и расти в федеральной компании и в сфере IT технологий Много интересной динамичной работы ;  Заработная плата по результатам собеседования Работа в удобном офисе в центре города (ул.Космонавтов) в команде опытных разработчиков. Дружелюбный коллектив. Возможность развиваться и расти в федеральной компании и в сфере IT технологий Много интересной динамичной работы ;Ищем опытного программиста Delphi, профессионала своего дела, того кто верит в данную технологию и считает что на ней можно реализовывать...;Дорабатывать и улучшать продукт, писать новый и разбираться в чужом коде. FastReport. Или другие генераторы отчетов. Системы контроля версии(SVN).;"SQL;Delphi;SVN;Borland Delphi;MS SQL Server";0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
2;37;33999883;Программист Delphi;Санкт-Петербург;2;3;Бизнес Технологии;0.03333333333333333;Приглашает к сотрудничеству в команду которая занимается созданием инструмента для разработчиков бизнес-приложений: десктопного клиентского приложения ERP системы Global. Клиентское приложение является графическим фреймворком позволяющим создавать и отображать бизнес-приложения ERP-системы. Фреймворк предоставляет набор высокоуровневых графических примитивов (фреймы-компоновщики, гриды, деревья, контролы, графики, график ганта, олап, CAD и многие другие), средства выполнения dsl и отладки, разнообразный API и мета-модель процессов бизнес-приложений.Обязанности:  Разработка десктопной части и фреймворка ERP системы Глобал Реализация нового функционала, исправление ошибок Написание модульных тестов  Требования:  Знание одного из объектно-ориентированных языков Уверенное знание ООП Алгоритмическая подготовка Вы можете ответить на вопросы: что такое указатель? и чем отличается массив от списка?  Приветствуется:  Опыт создания визуальных и не визуальных компонентов Опыт работы с реляционными СУБД Знание UML и методологий разработки ПО Любые знания из сферы IT и Computer Science  Условия:  Мы пишем модульные и интеграционные тесты, проводим ревью кода, используем гибкую методологию разработки, выполняем непрерывную сборку проекта, используем Git, UML. Для создания приложения используем сторонние компоненты ODAC, DevExpress, TMS Scripter, Fast Report, Python, CEF(Chronium) и др. Постоянно совершенствуем методологии разработки и повышаем свою эффективность. По договоренности гибкий график Обширные возможности для профессионального роста Впоследствии возможен переход в проект на Java Конкурентная заработная плата, премии. Заработная плата определяется по результатам собеседования. Оформление по ТК, белая ЗП. ;  Мы пишем модульные и интеграционные тесты, проводим ревью кода, используем гибкую методологию разработки, выполняем непрерывную сборку проекта, используем Git, UML. Для создания приложения используем сторонние компоненты ODAC, DevExpress, TMS Scripter, Fast Report, Python, CEF(Chronium) и др. Постоянно совершенствуем методологии разработки и повышаем свою эффективность. По договоренности гибкий график Обширные возможности для профессионального роста Впоследствии возможен переход в проект на Java Конкурентная заработная плата, премии. Заработная плата определяется по результатам собеседования. Оформление по ТК, белая ЗП. ;Знание одного из объектно-ориентированных языков. Уверенное знание ООП. Приветствуется: Опыт создания визуальных и не визуальных компонентов. Опыт работы с...;Разработка десктопной части и фреймворка ERP системы Глобал. Реализация нового функционала, исправление ошибок. Написание модульных тестов. Алгоритмическая подготовка.;"SQL;Delphi;SVN;Borland Delphi;MS SQL Server";0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
3;26;29909756;Delphi программист;Омск;1;2;Информационные технологии бизнеса;0.23333333333333334;"Обязанности: - Разработка новых модулей и модернизация корпоративной CRM на Delphi- Внедрение разработанных приложений и модулей в эксплуатацию. Требования: - Нужен сотрудник на фулл тайм в офис. Удаленная работа невозможна.- Аналитический склад ума, качество кода, умение работать быстро;- SQL и Delphi на высоком уровне- Умение работать в команде;- Умение проектировать базу данных для поставленной задачи; Что мы предлагаем?  Мы стабильная и растущая компания У нас клевая и очень интересная отрасль, мы в топ 3 по количеству проектов на продвижении в России. Гарантированный профессиональный рост и рост зарплаты Удобный график (есть возможность неполного рабочего дня по удобному расписанию), а иногда можно работать и удаленно На сегодня в нашей команде 180 профессионалов с которыми всегда есть о чем поговорить и посмеяться Размер заработной платы определяется с успешным кандидатом индивидуально на собеседовании. Плюс, есть возможность подработать у нас же на фрилансе Современный офис, большая парковка, несколько кафе прямо в БЦ, рядом куча магазинов, профессиональная кофемашина и бариста, который весь день готовит для вас вкуснейший кофе, бесплатные бассейн (Ермак) и спортзал (FlexGym) для сотрудников Компании.  Уровень заработной платы обсуждается индивидуально с успешным кандидатом.";;Аналитический склад ума, качество кода, умение работать быстро. - SQL и Delphi на высоком уровне. - Умение работать в команде. - ;Разработка новых модулей и модернизация корпоративной CRM на Delphi. - Внедрение разработанных приложений и модулей в эксплуатацию.;"SQL;Delphi;SVN;Borland Delphi;MS SQL Server";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
4;8;33758629;Программист Delphi;Москва;2;2;ИТЕРАЦИЯ;0.0;Обязанности: Разработка программных продуктов в среде разработки Delphi с использованием СУБД Firebird. Разработка новой и доработка существующей функциональности системы. Отладка программных продуктов. Проектирование баз данных. Разработка технической документации к программным продуктам. Требования: Отличное знание среды разработки Delphi. Отличное понимание принципов ООП. Знание и опыт работы в области проектирования БД (СУБД - Firebird, Oracle). Умение разобраться в сложном SQL-запросе‚ навыки в оптимизации SQL-запросов. Аккуратность в оформлении исходных кодов и экранных форм. Навыки отладки, тестирования и документирования программ. Навыки разработки программ, устойчивым к ошибочным действиям пользователей. Опыт работы с «чужим» кодом.   Приветствуется: Опыт работы с 3D-графикой (OpenGL). Опыт разработки сетевых приложений. Опыт разработки многопоточных приложений. Опыт разработки приложений с экспортом данных в MS Office (Word, Excel). Опыт работы с системами контроля версий (SVN, Git и пр). Условия: г. Москва, м. «Электрозаводская», ул. Большая Почтовая Бизнес центр класса B+. Хорошо оборудованный офис. Оформление по трудовому кодексу Российской Федерации. График работы с 9:00 до 18:00, Оплачиваемый отпуск и больничный лист. Испытательный срок 3 месяца. Заработная плата + премия по результатам работы  ; г. Москва, м. «Электрозаводская», ул. Большая Почтовая Бизнес центр класса B+. Хорошо оборудованный офис. Оформление по трудовому кодексу Российской Федерации. График работы с 9:00 до 18:00, Оплачиваемый отпуск и больничный лист. Испытательный срок 3 месяца. Заработная плата + премия по результатам работы  ;Отличное знание среды разработки Delphi. Отличное понимание принципов ООП. Знание и опыт работы в области проектирования БД (СУБД - Firebird, Oracle). ;Разработка программных продуктов в среде разработки Delphi с использованием СУБД Firebird. Разработка новой и доработка существующей функциональности системы. ;"SQL;Delphi;SVN;Borland Delphi;MS SQL Server";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
5;4;33810309;Младший программист Delphi;Санкт-Петербург;1;2;Бизнес Технологии;0.0;Приглашает к сотрудничеству начинающих и опытных разработчиков.Обязанности:  Разработка десктопного клиентского приложения ERP системы Глобал Реализация новой функциональности, исправление ошибок Написание модульных тестов  Требования:  Знание одного из объектно-ориентированных языков Уверенное знание ООП Минимальная алгоритмическая подготовка Вы можете ответить на вопросы: что такое указатель? и чем отличается массив от списка? Самое важное: желание учиться и профессионально развиваться  Приветствуется:  Опыт создания визуальных и невизуальных компонентов Опыт работы с реляционными СУБД Знание UML и методологий разработки ПО Любые знания из сферы IT и Computer Science  Условия:  Мы пишем модульные и интеграционные тесты, проводим ревью кода, используем гибкие методологии разработки, выполняем непрерывную сборку проекта, используем Git, UML. Для создания приложения используем сторонние компоненты ODAC, DevExpress, TMS Scripter, Fast Report, Python, CEF(Chronium) и др. Постоянно совершенствуем методологии разработки и повышаем свою эффективность. По договоренности гибкий график Обширные возможности для профессионального и карьерного роста Впоследствии возможен переход в проект на Java Конкурентная заработная плата, премии. Заработная плата определяется по результатам собеседования. Оформление по ТК, белая ЗП. ;  Мы пишем модульные и интеграционные тесты, проводим ревью кода, используем гибкие методологии разработки, выполняем непрерывную сборку проекта, используем Git, UML. Для создания приложения используем сторонние компоненты ODAC, DevExpress, TMS Scripter, Fast Report, Python, CEF(Chronium) и др. Постоянно совершенствуем методологии разработки и повышаем свою эффективность. По договоренности гибкий график Обширные возможности для профессионального и карьерного роста Впоследствии возможен переход в проект на Java Конкурентная заработная плата, премии. Заработная плата определяется по результатам собеседования. Оформление по ТК, белая ЗП. ;Знание одного из объектно-ориентированных языков. Уверенное знание ООП. Минимальная алгоритмическая подготовка. Вы можете ответить на вопросы: что такое указатель...;Разработка десктопного клиентского приложения ERP системы Глобал. Реализация новой функциональности, исправление ошибок. Написание модульных тестов.;"SQL;Delphi;SVN;Borland Delphi;MS SQL Server";0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
6;83;32718116;Программист Delphi;Санкт-Петербург;2;2;Компания Инфоcтрой;0.03333333333333333;Обязанности:  Разработка, сопровождение и реинжиниринг программного обеспечения Компании.  Требования:  Минимальные навыки:  понимание и практическое владение методологией объектно-ориентированного программирования. опыт разработки приложений баз данных знание Delphi или С# знание MS SQL Server умение разбираться в чужом коде     Приветствуется:  опыт работы в команде знание и опыт использования СОМ-технологии опыт использования DevExpress, знакомство с InstallShield, FastReport опыт разработки многопоточных приложений опыт использования nUnit знание .Net    Мы предлагаем:  Дружный молодой коллектив. Интересные и сложные задачи. Отсутствие бюрократии. Оформление по ТК РФ Зарплата: оклад + бонус по итогам работы компании за квартал Испытательный срок 3 мес. ;  Дружный молодой коллектив. Интересные и сложные задачи. Отсутствие бюрократии. Оформление по ТК РФ Зарплата: оклад + бонус по итогам работы компании за квартал Испытательный срок 3 мес. ;Минимальные навыки: Понимание и практическое владение методологией объектно-ориентированного программирования. Опыт разработки приложений баз данных. Знание Delphi или С#. ;Разработка, сопровождение и реинжиниринг программного обеспечения Компании.;"SQL;Delphi;SVN;Borland Delphi;MS SQL Server";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
7;28;33276266;Программист-разработчик Delphi;Казань;2;3;Межрегиональный клинико-диагностический центр (МКДЦ);0.03333333333333333;"Обязанности:  Поддержка, доработка и разработка компонентов медицинской информационной системы (Delphi XE7); Составление SQL запросов для выборки данных из баз DB2, а также знание оптимизации SQL запросов, умение создавать хранимые процедуры, триггеры, индексы; Написание медицинских отчетов в генераторах (Crystal Reports, Fast Reports и т. п.).  Требования:  Высшее техническое образование; Знание DB2, SQL, Delphi XE7; Личные качества: самообучаемость, ответственность, инициативность, исполнительность, креативность, пунктуальность и умение работать в команде.  Условия:  Уровень заработной платы: от 50 тыс.руб.; Полный социальный пакет (оформление по ТК, оплата больничных листков, отпусков), регулярно выплачиваемая заработная плата два раза в месяц; Предоставление детского дня один раз в месяц и ко дню знаний для родителя первоклассника; Льготное медицинское обслуживание как для сотрудника, так и для близких родственников сотрудника; Забота о детях сотрудников МКДЦ: мастер-классы, содействие в организации летнего отдыха, подарки к новому году и ко дню знаний для первоклассника; Богатая программа корпоративных мероприятий; Бесплатное посещение бассейна; График работы: 5/2, с 9.00 до 17.30 или с 8.00 до 16.30, или с 8.30 до 17.00; Работа на территории работодателя. ";"  Уровень заработной платы: от 50 тыс.руб.; Полный социальный пакет (оформление по ТК, оплата больничных листков, отпусков), регулярно выплачиваемая заработная плата два раза в месяц; Предоставление детского дня один раз в месяц и ко дню знаний для родителя первоклассника; Льготное медицинское обслуживание как для сотрудника, так и для близких родственников сотрудника; Забота о детях сотрудников МКДЦ: мастер-классы, содействие в организации летнего отдыха, подарки к новому году и ко дню знаний для первоклассника; Богатая программа корпоративных мероприятий; Бесплатное посещение бассейна; График работы: 5/2, с 9.00 до 17.30 или с 8.00 до 16.30, или с 8.30 до 17.00; Работа на территории работодателя. ";Высшее техническое образование. Знание DB2, SQL, Delphi XE7. Личные качества: самообучаемость, ответственность, инициативность, исполнительность, креативность, пунктуальность и умение...;Поддержка, доработка и разработка компонентов медицинской информационной системы (Delphi XE7). Составление SQL запросов для выборки данных из баз DB...;"Delphi;SQL;DB2";0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0
8;44;32968737;Программист Delphi;Челябинск;3;0;Челябинский Трубопрокатный Завод, (ЧТПЗ);0.0;"Сфера деятельности: Информационные технологии Вакансия открыта в компании АО ДиАйПи, которая входит в промышленную группу ЧТПЗ. Обязанности:  разработка и сопровождение задач ERP систем  Требования:  высшее образование: Информатика и вычислительная техника. Бизнес- информатика, Фундаментальная информатика и информационные технологии, Прикладная математика; хорошее знание SQL, приветствуется знание PL/SQL. опыт работы с СУБД Oracle, Microsoft SQL опыт разработки приложений в среде Delphi, Visual Studio. знание языков программирования Delphi,C#. приветствуется знания Crystal Reports, FastReports и других генераторов отчётов. приветствуется опыт интеграции/сопровождения гетерогенных систем хранения и обработки данных. приветствуется знания механизмов репликации и распределённых баз данных. желателен опыт командной работы над проектами английский язык на уровне чтения технической документации;  Условия работы:  вакансия открыта в компании АО ДиАйПи, которая входит в промышленную группу ЧТПЗ. официальное трудоустройство, полное соблюдение ТК; постоянная штатная единица; рабочее место в Заводоуправлении ПАО ЧТПЗ (г. Челябинск, ул. Машиностроителей); график работы: ПН-ПТ с 8:30 до 17:15, ненормированный рабочий день; заработная плата по результатам собеседования; ежемесячная премия по результатам работы возможность профессионального и карьерного роста и развития; ";;Высшее образование: Информатика и вычислительная техника. Бизнес- информатика, Фундаментальная информатика и информационные технологии, Прикладная математика. Хорошее знание SQL, приветствуется знание...;Разработка и сопровождение задач ERP систем.;"программирование C#;программирование delphi";0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0
9;32;34199203;Программист Delphi, Oracle PL/SQL;Самара;0;0;Чакона;0.13333333333333333;Обязанности: Участие в разработке ERP- Системы предприятияИнтеграция приложений со сторонними сервисами Требования: Основные требования:Высшее техническое образование.Опыт работы в IDE Borland/Embarcadero Delphi не меньше 3-х летЗнания принципов ООП, интерфейсыОпыт работы с потокамиОтличное знание языка SQLОпыт работы с БД Oracle (PL/SQL)Умение самостоятельно проводить анализ и диагностику проблем, находить решения для сложных и нестандартных задач Дополнительные знания: Работа с OLE объектамиПостроение отчётов в FastReportРабота с системой контроля версий SVN Условия: График работы: 5/2Уровень заработной платы конкурентный (определяется по результатам собеседования); График работы: 5/2Уровень заработной платы конкурентный (определяется по результатам собеседования);Высшее техническое образование. Опыт работы в IDE Borland/Embarcadero Delphi не меньше 3-х лет. Знания принципов ООП, интерфейсы. ;Участие в разработке ERP- Системы предприятия. Интеграция приложений со сторонними сервисами. Работа с OLE объектами. Построение отчётов в FastReport. ;"Oracle Pl/SQL;SVN;Borland Delphi;SQL;Delphi";0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1
10;57;34234419;Программист Java/Delphi;Тюмень;0;0;Бюджетные и Финансовые Технологии;0.06666666666666667;"Компания Бюджетные и Финансовые Технологии - ведущий разработчик в сфере управленческих и информационных технологий для органов власти приглашает на работу на должность Программист Java/Delphi      Обязанности: • Поддержка и развитие серверной части ядра АЦК (Java 8 SE), включая Delphi клиент.   АЦК-Финансы - система управления общественными финансами для муниципальных образований высокого уровня. Документооборот. Представлена линейкой продуктов реализованных на базе внутреннего фреймворка - «Ядро». Трехзвенная архитектура. Включает подсистемы: электронной подписи, отчетов, множество интеграций.   Требования: • Высшее образование (IT); • Java 8 SE, опыт разработки ERP-систем; • Опыт работы с СУБД: оптимизация работы, выявление причин сбоев/тормозов (Oralce, FireBird, PostgreSQL); • Опыт работы с git; • Опыт работы в большой команде; • Опыт реверс-инжиниринга; • Готовность работать с кодом Delphi.   Желательно:   • Опыт разработки HighLoad-систем (Java); • Опыт работы на Delphi: использования интерфейсов, оптимизации, CORBA и CryptoAPI; • JavaScript (native JS, AJAX, devtools браузера).     Условия:   • Официальное трудоустройство в рамках ТК РФ; • Официальная заработная плата; • Профессиональный коллектив, перспективы роста и развития; • Корпоративное обучение за счет Компании; • ДМС; • Чай‚ кофе для поддержания хорошего настроения.  ";"   • Официальное трудоустройство в рамках ТК РФ; • Официальная заработная плата; • Профессиональный коллектив, перспективы роста и развития; • Корпоративное обучение за счет Компании; • ДМС; • Чай‚ кофе для поддержания хорошего настроения.  ";Высшее образование (IT). Java 8 SE, опыт разработки ERP-систем. Опыт работы с СУБД: оптимизация работы, выявление причин сбоев/тормозов...;Поддержка и развитие серверной части ядра АЦК (Java 8 SE), включая Delphi клиент. Чай‚ кофе для поддержания хорошего настроения.;"SQL;Delphi;SVN;Borland Delphi;MS SQL Server";1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
